Factor_name,Value
Необходимость наведения в зад. полусферу,1
Необходимость наведения в пер. полусферу,0
Предпочтительно наведение в зад. полусферу,1
Предпочтительно наведение в пер. полусферу,0
Требование наведения за мин. время,1
Требование к скрытности,0
Тип наведения,рад
Нахождение в полусфере относительно цели,зад
Реализация по скорости «Прямого метода»,1
Реализация по скорости «Метода манёвра»,1
Реализация по скорости «Метода перехвата»,1
Реализация траектории «Прямого метода»,1
Реализация траектории «Метода манёвра»,1
Реализация траектории «Метода перехвата»,1
Реализация по запасу топлива «Прямого метода»,1
Реализация по запасу топлива «Метода манёвра»,1
Реализация по запасу топлива «Метода перехвата»,1
